issued_at_utc,window,horizon,target_ts_utc,station_id,event,p_model,p_clim,p_pers,model_version
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,1,bike,0.9411,0.989,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,10,bike,0.9233,0.9157,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,100,bike,0.7382,0.3715,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,101,bike,0.9132,0.8645,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,102,bike,0.8354,0.8514,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,103,bike,0.619,0.9167,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,104,bike,0.3327,0.6757,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,105,bike,0.9703,0.7176,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,106,bike,0.7857,0.8384,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,107,bike,0.988,0.7771,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,108,bike,0.7284,0.8143,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,109,bike,0.9924,0.9699,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,11,bike,0.748,0.9869,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,110,bike,0.7792,0.8122,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,111,bike,0.6605,0.5402,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,112,bike,0.9054,0.7982,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,113,bike,0.9331,0.9558,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,114,bike,0.8555,0.995,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,115,bike,0.9959,0.9669,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,116,bike,0.6036,0.7199,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,117,bike,0.8515,0.9829,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,12,bike,0.8422,0.7209,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,13,bike,0.855,0.9679,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,14,bike,0.995,0.9779,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,15,bike,0.495,0.7058,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,16,bike,0.9873,0.9679,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,17,bike,0.7758,0.8253,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,18,bike,0.9239,0.9648,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,19,bike,0.8592,0.995,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,2,bike,0.6547,0.6797,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,20,bike,0.8237,0.995,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,21,bike,0.9698,0.9759,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,22,bike,0.9917,0.9709,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,23,bike,0.9975,0.993,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,24,bike,0.9911,0.9869,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,25,bike,0.8938,0.995,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,26,bike,0.9363,0.9538,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,27,bike,0.9101,0.995,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,28,bike,0.8185,0.8976,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,29,bike,0.9864,0.9488,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,3,bike,0.9692,0.8112,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,31,bike,0.9673,0.9357,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,32,bike,0.9885,0.9689,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,33,bike,0.9924,0.9769,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,34,bike,0.9671,0.6858,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,35,bike,0.9601,0.9829,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,36,bike,0.8925,0.997,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,37,bike,0.7935,0.9448,0.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,38,bike,0.9907,0.9568,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,39,bike,0.7299,0.6908,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,4,bike,0.9597,0.991,1.0,v1
2026-07-21T22:02:03.502514+00:00,morning,long,2026-07-22T07:30:00+00:00,40,bike,0.9839,0.997,1.0,v1
