issued_at_utc,window,horizon,target_ts_utc,station_id,event,p_model,p_clim,p_pers,model_version
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,1,bike,0.9797,0.989,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,10,bike,0.9392,0.9157,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,100,bike,0.8283,0.3715,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,101,bike,0.9451,0.8645,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,102,bike,0.9505,0.8514,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,103,bike,0.8731,0.9167,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,104,bike,0.6403,0.6757,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,105,bike,0.9053,0.7176,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,106,bike,0.979,0.8384,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,107,bike,0.9822,0.7771,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,108,bike,0.7228,0.8143,0.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,109,bike,0.9966,0.9699,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,11,bike,0.9892,0.9869,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,110,bike,0.9731,0.8122,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,111,bike,0.5532,0.5402,0.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,112,bike,0.8839,0.7982,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,113,bike,0.9279,0.9558,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,114,bike,0.9741,0.995,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,115,bike,0.9732,0.9669,0.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,116,bike,0.9145,0.7199,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,117,bike,0.9844,0.9829,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,12,bike,0.7792,0.7209,1.0,v1
2026-07-23T15:05:06.935619+00:00,morning,long,2026-07-24T07:30:00+00:00,13,bike,0.932,0.9679,1.0,v1
